kelas_id,dosen_id,kuesioner,skor_kues,nilai_akhir
2021150015,955,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.6666666666666667, ""2"": 4.0000000000000000, ""3"": 4.0000000000000000}",3.9205663492063492
2021157421,87,"{""25"": 3.8709677419354839, ""26"": 3.8387096774193548, ""27"": 3.8709677419354839}","{""1"": 3.6344086021505376, ""2"": 3.8193548387096774, ""3"": 3.8709677419354839}",3.711373657800415
2021157421,1431,"{""25"": 3.8709677419354839, ""26"": 3.8709677419354839, ""27"": 3.8709677419354839}","{""1"": 3.6344086021505376, ""2"": 3.8258064516129032, ""3"": 3.8709677419354839}",3.7118037653272967
2021167044,525,"{""25"": 4.0000000000000000, ""26"": 3.9333333333333333, ""27"": 4.0000000000000000}","{""1"": 3.9111111111111111, ""2"": 3.9600000000000000, ""3"": 4.0000000000000000}",3.9139407407407407
2021145739,22,"{""25"": 3.8333333333333333, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.8055555555555556, ""2"": 3.8666666666666667, ""3"": 3.8750000000000000}",3.7240595206971678
2021145739,311,"{""25"": 3.9166666666666667, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.8055555555555556, ""2"": 3.8833333333333333, ""3"": 3.8750000000000000}",3.7251706318082789
2021145739,888,"{""25"": 3.9166666666666667, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.8055555555555556, ""2"": 3.8833333333333333, ""3"": 3.8750000000000000}",3.7251706318082789
2021135684,980,"{""25"": 3.5714285714285714, ""26"": 3.8571428571428571, ""27"": 3.4285714285714286}","{""1"": 3.5238095238095238, ""2"": 3.5428571428571428, ""3"": 3.8571428571428571}",3.8012050793650794
2021135684,989,"{""25"": 4.0000000000000000, ""26"": 3.8571428571428571, ""27"": 3.8571428571428571}","{""1"": 3.5238095238095238, ""2"": 3.7142857142857143, ""3"": 3.8571428571428571}",3.8126336507936508
2021189212,587,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 4.0000000000000000, ""2"": 4.0000000000000000, ""3"": 4.0000000000000000}",3.97056
2021189212,1222,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 4.0000000000000000, ""2"": 4.0000000000000000, ""3"": 4.0000000000000000}",3.97056
2021158160,283,"{""25"": 3.5789473684210526, ""26"": 3.7894736842105263, ""27"": 3.8596491228070175}","{""1"": 3.3216374269005848, ""2"": 3.6736842105263158, ""3"": 3.4298245614035088}",3.6089880516734397
2021150875,712,"{""25"": 3.8035714285714286, ""26"": 3.8392857142857143, ""27"": 3.8035714285714286}","{""1"": 3.5000000000000000, ""2"": 3.7928571428571429, ""3"": 3.7142857142857143}",3.6439925746569814
2021102786,336,"{""25"": 3.6250000000000000, ""26"": 3.7500000000000000, ""27"": 3.8750000000000000}","{""1"": 3.2500000000000000, ""2"": 3.6000000000000000, ""3"": 3.3750000000000000}",3.1714266666666667
2021173552,554,"{""25"": 3.7631578947368421, ""26"": 3.7631578947368421, ""27"": 3.8421052631578947}","{""1"": 3.2456140350877193, ""2"": 3.6578947368421052, ""3"": 3.4342105263157895}",
2021147756,896,"{""25"": 3.3448275862068966, ""26"": 3.2413793103448276, ""27"": 3.6896551724137931}","{""1"": 3.2298850574712644, ""2"": 3.4620689655172414, ""3"": 3.3448275862068966}",3.3265187739463602
2021162851,1423,"{""25"": 3.8888888888888889, ""26"": 4.0000000000000000, ""27"": 3.8888888888888889}","{""1"": 3.6666666666666667, ""2"": 3.9111111111111111, ""3"": 3.7777777777777778}",3.483677037037037
2021133725,593,"{""25"": 4.0000000000000000, ""26"": 4.0000000000000000, ""27"": 4.0000000000000000}","{""1"": 3.6250000000000000, ""2"": 3.8750000000000000, ""3"": 3.8750000000000000}",3.57916
2021133725,905,"{""25"": 3.0000000000000000, ""26"": 3.2500000000000000, ""27"": 3.7500000000000000}","{""1"": 3.6250000000000000, ""2"": 3.4750000000000000, ""3"": 3.8750000000000000}",3.5524933333333333
2022161676,569,"{""21"": 3.3088235294117645, ""22"": 3.5, ""23"": 2.735294117647059, ""24"": 3.4411764705882355, ""25"": 3.3970588235294117, ""26"": 3.4705882352941178, ""27"": 3.7205882352941178, ""28"": 3.4558823529411766, ""29"": 3.426470588235294, ""30"": 3.2794117647058822, ""35"": 3.514705882352941, ""37"": 3.426470588235294}","{""1"": 3.1813725490196078, ""2"": 3.4970588235294118, ""3"": 3.4705882352941177}",3.4713370818374298
2023291917,1222,"{""25"": 3.8260869565217391, ""26"": 3.7391304347826087, ""27"": 3.8260869565217391}","{""1"": 3.6086956521739131, ""2"": 3.7217391304347826, ""3"": 3.7826086956521739}",3.7581064882943144
2023291917,1379,"{""21"": 3.6956521739130435, ""22"": 3.6521739130434785, ""23"": 3.4782608695652173, ""24"": 3.5652173913043477, ""25"": 3.739130434782609, ""26"": 3.782608695652174, ""27"": 3.8260869565217392, ""28"": 3.6521739130434785, ""29"": 3.608695652173913, ""30"": 3.5652173913043477, ""35"": 3.782608695652174, ""37"": 3.782608695652174}","{""1"": 3.6086956521739131, ""2"": 3.7130434782608696, ""3"": 3.7826086956521739}",3.7575267781493869
2021173799,782,"{""25"": 3.3500000000000000, ""26"": 3.6000000000000000, ""27"": 3.7333333333333333}","{""1"": 3.4222222222222222, ""2"": 3.5666666666666667, ""3"": 3.6333333333333334}",3.6781604558404559
2021191848,1363,"{""25"": 3.9642857142857143, ""26"": 3.9464285714285714, ""27"": 3.9642857142857143}","{""1"": 3.5654761904761905, ""2"": 3.9142857142857143, ""3"": 3.6875000000000000}",3.6298301587301587
2021129602,1260,"{""25"": 3.5714285714285714, ""26"": 3.6607142857142857, ""27"": 3.7678571428571429}","{""1"": 3.3571428571428571, ""2"": 3.6357142857142857, ""3"": 3.5892857142857143}",3.6318534744268078
2021178835,794,"{""25"": 2.9574468085106383, ""26"": 3.3404255319148936, ""27"": 3.7234042553191489}","{""1"": 3.1063829787234042, ""2"": 3.4212765957446808, ""3"": 3.4361702127659575}",3.6159794570799706
2021161793,1168,"{""25"": 3.4838709677419355, ""26"": 3.5322580645161290, ""27"": 3.8225806451612903}","{""1"": 3.2150537634408602, ""2"": 3.5806451612903226, ""3"": 3.3629032258064516}",3.537744758753791
2021100595,713,"{""25"": 3.6333333333333333, ""26"": 3.3666666666666667, ""27"": 3.7333333333333333}","{""1"": 3.1722222222222222, ""2"": 3.6000000000000000, ""3"": 3.5500000000000000}",3.5992250712250712
2021175477,713,"{""25"": 3.5892857142857143, ""26"": 3.6071428571428571, ""27"": 3.8035714285714286}","{""1"": 3.4226190476190476, ""2"": 3.6250000000000000, ""3"": 3.5892857142857143}",3.7493306204906205
2021175477,1743,"{""25"": 3.8214285714285714, ""26"": 3.7857142857142857, ""27"": 3.8571428571428571}","{""1"": 3.4226190476190476, ""2"": 3.7178571428571428, ""3"": 3.5892857142857143}",3.7555210966810967
2021110730,283,"{""25"": 3.7931034482758621, ""26"": 3.8275862068965517, ""27"": 3.8620689655172414}","{""1"": 3.6206896551724138, ""2"": 3.8344827586206897, ""3"": 3.7068965517241379}",3.5892746752205293
2021198523,772,"{""25"": 3.7727272727272727, ""26"": 3.8636363636363636, ""27"": 3.9545454545454545}","{""1"": 3.6818181818181818, ""2"": 3.8454545454545454, ""3"": 3.7954545454545455}",3.6384751515151515
2021120650,533,"{""25"": 3.5365853658536585, ""26"": 3.6341463414634146, ""27"": 3.7804878048780488}","{""1"": 3.2845528455284553, ""2"": 3.5707317073170732, ""3"": 3.3780487804878049}",3.6328622222222222
